name,abbreviation,max_faculty_capacity,current_number_of_faculty,academic_division
English,ART,87,11,Arts
Physics,PHYS,28,20,Science
Electrical Engineering,EENG,58,19,Science
Mathematics,ENG,57,16,Engineering
Computer Science,CS,46,9,Arts
Mathematics,MATH,29,6,Arts
Computer Science,PHYS,73,15,Engineering
Computer Science,MATH,37,7,Engineering
Physics,CS,31,20,Engineering
Art,MATH,58,11,Arts
Computer Science,EENG,47,7,Science
Art,PHYS,24,7,Engineering
Art,ENG,89,16,Science
Mathematics,MATH,100,10,Science
Physics,EENG,47,13,Engineering
Art,PHYS,29,13,Science
Art,MATH,48,16,Science
Electrical Engineering,MATH,48,17,Science
English,PHYS,74,17,Arts
Art,ENG,100,17,Arts
Art,PHYS,72,16,Arts
Mathematics,EENG,52,15,Arts
Art,CS,32,12,Arts
Electrical Engineering,ENG,46,11,Science
Physics,CS,39,15,Science
Electrical Engineering,EENG,57,16,Science
Computer Science,PHYS,62,6,Arts
Art,ART,35,9,Arts
Physics,PHYS,61,17,Science
Electrical Engineering,MATH,97,11,Science
English,MATH,20,18,Science
Mathematics,PHYS,66,13,Engineering
Art,PHYS,77,15,Arts
Physics,CS,33,12,Arts
Mathematics,ART,24,12,Arts
Physics,PHYS,49,7,Engineering
Mathematics,CS,67,9,Engineering
English,CS,66,18,Science
Art,MATH,88,14,Engineering
Computer Science,PHYS,86,6,Engineering
Computer Science,PHYS,83,17,Engineering
Electrical Engineering,MATH,87,7,Science
Art,EENG,61,20,Engineering
English,MATH,92,5,Science
English,ENG,43,15,Arts
Computer Science,EENG,56,13,Arts
Mathematics,EENG,38,14,Engineering
Electrical Engineering,MATH,25,17,Arts
Art,MATH,89,15,Engineering
Mathematics,ART,39,15,Science
Physics,CS,35,19,Engineering
Physics,EENG,96,8,Arts
Electrical Engineering,ART,22,8,Engineering
Art,PHYS,60,14,Science
English,ART,91,8,Engineering
Computer Science,MATH,90,10,Science
Mathematics,ENG,43,6,Engineering
English,EENG,56,19,Arts
Electrical Engineering,ART,82,19,Science
Art,EENG,86,10,Science
Art,ART,74,16,Arts
Mathematics,CS,73,17,Engineering
Art,ENG,51,14,Engineering
Art,ART,68,14,Engineering
Mathematics,PHYS,30,6,Engineering
Electrical Engineering,EENG,72,12,Engineering
Mathematics,ENG,45,20,Engineering
Computer Science,PHYS,34,8,Arts
Electrical Engineering,CS,52,16,Science
Mathematics,ENG,99,10,Science
Physics,PHYS,47,20,Engineering
Electrical Engineering,PHYS,60,12,Arts
Mathematics,EENG,67,16,Engineering
Physics,EENG,67,15,Arts
Electrical Engineering,ART,99,9,Science
Electrical Engineering,MATH,43,9,Arts
Electrical Engineering,ENG,87,14,Arts
English,EENG,80,17,Arts
Electrical Engineering,MATH,20,6,Arts
Electrical Engineering,EENG,95,18,Arts
Computer Science,ART,59,11,Engineering
Computer Science,PHYS,47,20,Arts
Computer Science,CS,64,6,Arts
Computer Science,CS,52,7,Science
Art,PHYS,75,8,Arts
Physics,MATH,39,12,Engineering
Mathematics,MATH,49,20,Arts
English,MATH,46,12,Arts
Mathematics,MATH,99,12,Engineering
Computer Science,CS,42,14,Engineering
Mathematics,PHYS,32,11,Science
Art,ENG,88,11,Engineering
English,ENG,36,13,Engineering
Physics,ART,88,5,Arts
Physics,ENG,90,20,Engineering
Art,CS,33,7,Science
Computer Science,CS,100,7,Engineering
Physics,CS,33,14,Arts
English,PHYS,45,15,Engineering
English,ART,33,16,Science
Electrical Engineering,MATH,62,7,Science
English,CS,66,16,Science
Art,ART,84,9,Science
Electrical Engineering,EENG,28,20,Science
English,EENG,83,15,Science
English,MATH,90,7,Science
English,EENG,85,8,Science
Computer Science,ENG,89,7,Arts
English,CS,69,13,Arts
Computer Science,ART,51,7,Arts
Computer Science,ART,67,12,Science
English,ENG,99,19,Science
English,MATH,43,6,Engineering
Computer Science,PHYS,91,14,Science
Computer Science,MATH,25,12,Science
Physics,PHYS,86,15,Arts
English,ENG,26,18,Science
Mathematics,ART,88,12,Science
Computer Science,EENG,58,10,Science
Art,MATH,34,12,Engineering
Art,ART,49,11,Arts
Electrical Engineering,PHYS,30,9,Arts
Physics,CS,100,15,Science
English,CS,39,11,Science
Computer Science,MATH,36,19,Arts
Electrical Engineering,ART,88,7,Engineering
Electrical Engineering,EENG,22,10,Science
Physics,ENG,57,16,Arts
Electrical Engineering,PHYS,47,5,Arts
Mathematics,ENG,51,7,Arts
Art,MATH,58,7,Arts
Art,ENG,69,16,Science
Mathematics,ENG,21,9,Arts
Computer Science,MATH,79,7,Science
Art,ART,45,15,Science
Mathematics,ART,69,13,Engineering
Computer Science,EENG,31,16,Arts
Electrical Engineering,PHYS,52,9,Arts
Mathematics,MATH,62,13,Science
Computer Science,ART,91,16,Arts
English,MATH,52,19,Engineering
English,PHYS,66,18,Engineering
Art,ART,24,20,Arts
Mathematics,MATH,89,16,Science
Art,ART,50,17,Engineering
Mathematics,ART,34,9,Arts
Physics,MATH,99,12,Science
Computer Science,EENG,100,14,Arts
Electrical Engineering,ENG,43,11,Engineering
Computer Science,CS,24,18,Arts
English,CS,45,12,Engineering
English,PHYS,78,11,Arts
Electrical Engineering,MATH,64,16,Arts
Mathematics,ENG,87,19,Science
Art,CS,77,6,Science
Art,EENG,88,20,Arts
English,PHYS,95,7,Science
Electrical Engineering,PHYS,24,19,Engineering
Mathematics,ENG,65,5,Arts
Mathematics,ART,25,8,Science
Mathematics,ENG,60,6,Arts
Mathematics,ART,52,11,Engineering
Art,MATH,27,8,Science
Computer Science,MATH,58,7,Arts
Art,CS,72,19,Arts
English,EENG,77,19,Engineering
Computer Science,PHYS,97,19,Arts
Electrical Engineering,PHYS,74,18,Arts
Computer Science,PHYS,84,16,Engineering
Art,ENG,57,18,Arts
Physics,CS,91,19,Arts
Electrical Engineering,PHYS,86,14,Arts
English,EENG,49,13,Engineering
Art,PHYS,77,5,Arts
English,CS,58,13,Science
Electrical Engineering,ENG,81,9,Engineering
Electrical Engineering,ENG,81,12,Arts
Art,PHYS,24,5,Engineering
English,CS,84,11,Engineering
Physics,MATH,89,20,Engineering
Physics,ENG,64,7,Engineering
Physics,MATH,97,15,Arts
Physics,ENG,26,20,Engineering
English,ENG,53,15,Engineering
English,EENG,45,20,Science
Mathematics,ENG,56,12,Engineering
Physics,PHYS,51,14,Engineering
Mathematics,PHYS,95,5,Engineering
Electrical Engineering,PHYS,91,7,Arts
Physics,MATH,34,9,Science
Computer Science,ART,83,10,Engineering
Electrical Engineering,ENG,85,8,Science
Art,MATH,25,13,Science
Physics,MATH,47,13,Engineering
Computer Science,EENG,98,12,Science
Electrical Engineering,PHYS,22,11,Engineering
Art,CS,84,9,Arts
Electrical Engineering,CS,99,5,Arts
Electrical Engineering,CS,60,12,Arts
Electrical Engineering,MATH,34,19,Science
Computer Science,CS,72,6,Science
Computer Science,CS,55,12,Science
Art,MATH,83,19,Engineering
Physics,PHYS,71,10,Arts
Computer Science,EENG,20,13,Science
English,ART,98,15,Science
Mathematics,ENG,74,9,Engineering
Computer Science,MATH,41,19,Engineering
Art,MATH,71,18,Arts
Art,CS,88,7,Science
Electrical Engineering,PHYS,95,7,Engineering
English,ART,65,19,Arts
Electrical Engineering,ART,70,14,Arts
Mathematics,CS,78,14,Arts
Computer Science,EENG,45,9,Science
Physics,ENG,85,15,Science
Art,MATH,24,20,Engineering
Physics,PHYS,28,11,Arts
Computer Science,ENG,86,13,Science
Physics,PHYS,48,18,Science
Art,EENG,21,18,Science
Art,ENG,64,10,Arts
Mathematics,MATH,67,17,Science
Mathematics,EENG,38,18,Science
Computer Science,MATH,20,19,Arts
English,ART,22,18,Engineering
Electrical Engineering,ENG,44,8,Science
Art,MATH,97,12,Science
Art,ENG,99,20,Engineering
Computer Science,ART,65,12,Science
Art,ENG,66,7,Science
English,ART,77,18,Arts
Art,CS,91,7,Science
Physics,EENG,44,17,Arts
Computer Science,MATH,77,14,Arts
Physics,MATH,61,7,Science
Art,ART,30,20,Arts
Mathematics,PHYS,99,10,Engineering
Art,ART,86,13,Science
Physics,MATH,97,16,Engineering
Mathematics,PHYS,90,8,Science
Computer Science,ENG,68,17,Engineering
Physics,ENG,77,6,Engineering
Art,ART,47,13,Arts
Art,ENG,41,14,Engineering
English,EENG,82,8,Engineering
Computer Science,ART,28,10,Engineering
Physics,MATH,76,20,Science
Electrical Engineering,EENG,61,6,Science
Computer Science,CS,32,9,Engineering
Art,ART,30,9,Arts
English,ENG,87,18,Science
Art,ENG,100,6,Science
Mathematics,ENG,81,12,Science
Computer Science,EENG,42,13,Arts
Computer Science,MATH,74,10,Engineering
Electrical Engineering,EENG,73,11,Arts
Electrical Engineering,CS,22,10,Science
Computer Science,ENG,23,9,Arts
Physics,PHYS,65,14,Science
Electrical Engineering,ART,54,10,Science
Computer Science,PHYS,51,7,Arts
Physics,PHYS,53,12,Arts
Physics,MATH,75,8,Science
Art,PHYS,45,6,Science
Computer Science,ART,52,15,Science
Physics,ENG,54,9,Science
Art,ENG,83,5,Arts
Mathematics,EENG,24,13,Arts
Computer Science,EENG,36,9,Engineering
Electrical Engineering,CS,80,6,Engineering
Art,ART,45,6,Science
Art,MATH,84,16,Engineering
Art,MATH,74,8,Engineering
Art,ART,97,9,Science
Mathematics,ENG,96,16,Science
Mathematics,EENG,62,5,Science
Electrical Engineering,ENG,73,20,Arts
English,ART,100,15,Science
Art,MATH,84,10,Arts
Mathematics,CS,57,10,Arts
Computer Science,ART,85,16,Engineering
English,EENG,53,16,Science
Electrical Engineering,MATH,70,17,Arts
Physics,MATH,96,19,Engineering
Physics,ENG,59,13,Engineering
Physics,PHYS,20,16,Arts
Computer Science,ART,54,8,Science
English,EENG,75,14,Engineering
Art,ART,29,19,Science
Computer Science,CS,96,12,Science
Computer Science,ART,48,12,Arts
English,ART,36,14,Engineering
Computer Science,MATH,64,10,Science
Physics,ART,38,13,Engineering
Mathematics,ENG,89,7,Arts
Computer Science,CS,71,15,Arts
Physics,MATH,22,20,Engineering
English,ENG,71,10,Science
Electrical Engineering,ART,53,7,Arts
Computer Science,ENG,78,14,Arts
Mathematics,CS,45,16,Arts
Computer Science,CS,48,16,Arts
Physics,ENG,48,13,Engineering
Electrical Engineering,EENG,85,20,Engineering
Electrical Engineering,MATH,86,10,Engineering
Physics,ENG,46,6,Engineering
Mathematics,MATH,32,17,Arts
Art,ENG,94,20,Engineering
Physics,CS,23,8,Engineering
Art,ART,57,11,Science
Electrical Engineering,EENG,46,13,Arts
Computer Science,EENG,51,9,Engineering
Art,PHYS,85,17,Science
Electrical Engineering,EENG,37,14,Engineering
Electrical Engineering,MATH,44,20,Science
Electrical Engineering,EENG,40,8,Science
Art,ART,93,9,Engineering
English,ART,63,18,Arts
Art,ART,85,11,Science
Computer Science,CS,70,11,Arts
Electrical Engineering,EENG,67,6,Arts
English,EENG,49,7,Arts
Electrical Engineering,ENG,46,17,Engineering
Computer Science,EENG,21,8,Engineering
Computer Science,PHYS,26,10,Science
English,EENG,99,6,Engineering
Art,ENG,91,5,Science
Art,ART,45,20,Engineering
Mathematics,ART,64,15,Arts
Computer Science,ART,22,7,Arts
Electrical Engineering,ART,69,7,Science
Art,EENG,49,6,Arts
Computer Science,CS,95,6,Science
Mathematics,EENG,37,17,Engineering
Computer Science,PHYS,61,11,Science
Computer Science,MATH,85,11,Engineering
Computer Science,ART,71,12,Engineering
English,ART,52,13,Arts
Electrical Engineering,MATH,59,10,Engineering
Mathematics,ENG,37,6,Science
Art,EENG,69,20,Science
English,PHYS,65,6,Science
Mathematics,ENG,68,14,Science
English,EENG,63,16,Arts
Art,EENG,41,19,Engineering
Art,ENG,68,13,Science
Art,ENG,35,8,Arts
Electrical Engineering,MATH,91,18,Engineering
Physics,ENG,70,5,Science
Physics,ART,49,7,Arts
Mathematics,CS,63,7,Science
Electrical Engineering,ART,89,11,Science
Art,ENG,79,6,Science
Electrical Engineering,EENG,90,15,Arts
Art,CS,59,14,Science
Mathematics,MATH,45,5,Arts
Art,CS,48,12,Science
Computer Science,ART,98,16,Engineering
Mathematics,ART,22,14,Engineering
Physics,PHYS,60,10,Engineering
Mathematics,CS,98,18,Arts
Mathematics,ART,49,13,Engineering
Mathematics,PHYS,87,14,Arts
Mathematics,CS,27,10,Engineering
Mathematics,EENG,64,13,Arts
Physics,ART,86,13,Engineering
Electrical Engineering,ART,68,18,Engineering
Electrical Engineering,MATH,22,20,Arts
Art,EENG,90,12,Arts
English,EENG,39,5,Engineering
Art,PHYS,69,10,Arts
Electrical Engineering,MATH,26,5,Science
Mathematics,ENG,25,11,Science
Electrical Engineering,MATH,93,14,Engineering
English,ENG,32,18,Science
English,EENG,81,6,Science
Computer Science,MATH,79,12,Science
Physics,PHYS,45,20,Science
Physics,PHYS,47,13,Arts
English,MATH,26,13,Science
Computer Science,EENG,74,7,Engineering
English,CS,35,9,Engineering
Art,CS,82,12,Science
Electrical Engineering,PHYS,35,12,Science
Physics,EENG,46,11,Science
Art,EENG,27,13,Arts
Art,PHYS,46,13,Engineering
Mathematics,MATH,35,9,Science
English,ENG,25,6,Science
Art,EENG,45,7,Science
Computer Science,CS,39,10,Engineering
Art,CS,61,10,Science
English,CS,33,14,Science
Art,CS,68,6,Arts
Physics,EENG,88,17,Science
Mathematics,PHYS,63,19,Engineering
Electrical Engineering,CS,65,15,Science
Art,CS,76,12,Engineering
Computer Science,MATH,72,10,Engineering
Physics,ART,29,8,Engineering
Art,ART,43,17,Arts
Physics,PHYS,79,19,Arts
Art,EENG,28,5,Arts
Computer Science,ART,99,14,Engineering
English,ENG,74,11,Science
Art,EENG,23,6,Engineering
Electrical Engineering,CS,59,19,Science
Computer Science,PHYS,21,12,Engineering
Physics,ART,75,17,Science
Physics,MATH,77,10,Arts
Physics,ART,53,5,Science
Mathematics,CS,66,18,Arts
Electrical Engineering,CS,36,7,Science
Mathematics,MATH,53,14,Engineering
Computer Science,ART,33,7,Engineering
Mathematics,CS,74,18,Arts
Computer Science,MATH,35,18,Engineering
Electrical Engineering,ART,49,19,Science
English,ENG,55,17,Arts
Computer Science,CS,79,10,Engineering
Mathematics,EENG,66,6,Arts
English,ART,92,19,Arts
Art,MATH,57,11,Science
Mathematics,MATH,88,15,Arts
Art,CS,27,15,Arts
Art,EENG,76,8,Arts
Electrical Engineering,ART,67,15,Arts
Physics,ENG,56,16,Science
Art,EENG,92,10,Arts
Computer Science,EENG,86,11,Arts
Electrical Engineering,EENG,25,9,Science
Computer Science,CS,73,12,Engineering
Electrical Engineering,ENG,56,12,Arts
Art,ENG,89,19,Science
Art,ART,22,16,Arts
Electrical Engineering,PHYS,48,20,Arts
Physics,PHYS,33,20,Science
Physics,ENG,91,5,Arts
Mathematics,CS,84,19,Science
Physics,ENG,95,10,Arts
English,ART,53,14,Science
Mathematics,CS,33,16,Science
Physics,PHYS,22,5,Arts
English,MATH,49,11,Science
Electrical Engineering,ART,81,15,Arts
Art,CS,94,20,Arts
Computer Science,CS,66,20,Engineering
Physics,MATH,55,6,Arts
Electrical Engineering,CS,35,9,Engineering
English,CS,75,14,Arts
English,ART,33,6,Arts
Art,ART,76,8,Arts
Electrical Engineering,MATH,71,6,Science
Art,ENG,41,14,Engineering
Computer Science,CS,20,12,Arts
English,EENG,35,6,Arts
Electrical Engineering,EENG,89,8,Engineering
Electrical Engineering,PHYS,61,9,Engineering
Mathematics,ART,82,13,Science
Computer Science,CS,86,15,Engineering
Physics,CS,53,8,Engineering
Mathematics,CS,51,11,Engineering
Mathematics,ENG,32,12,Arts
Art,PHYS,93,5,Engineering
Art,ENG,50,7,Arts
Electrical Engineering,EENG,59,10,Science
Physics,ENG,42,5,Arts
Mathematics,MATH,95,13,Science
Mathematics,PHYS,63,19,Engineering
English,PHYS,89,11,Engineering
Physics,ENG,51,11,Arts
Physics,MATH,21,12,Science
Mathematics,PHYS,90,9,Arts
Electrical Engineering,CS,37,6,Engineering
Computer Science,MATH,45,7,Engineering
Computer Science,EENG,39,9,Science
Mathematics,ART,61,10,Science
English,ENG,94,18,Arts
Mathematics,CS,20,19,Arts
Electrical Engineering,EENG,58,14,Engineering
Computer Science,ENG,75,10,Engineering
Physics,EENG,93,16,Arts
Computer Science,CS,76,7,Engineering
English,ART,73,5,Arts
Electrical Engineering,PHYS,25,12,Arts
Electrical Engineering,ENG,86,11,Science
Computer Science,ART,85,12,Science
English,EENG,61,8,Arts
English,MATH,75,15,Science
Art,ENG,64,16,Engineering
Physics,ENG,23,7,Arts
English,MATH,70,10,Engineering
Electrical Engineering,ENG,86,19,Science
Art,EENG,69,14,Engineering
Mathematics,ENG,92,12,Science
Computer Science,EENG,72,13,Arts
Art,ENG,96,13,Engineering
Art,ENG,23,7,Science
English,MATH,32,7,Science
Art,MATH,90,7,Arts
Mathematics,MATH,97,5,Arts
English,ENG,72,7,Engineering
Physics,ENG,34,17,Science
English,EENG,36,5,Science
Art,EENG,88,17,Arts
English,MATH,82,16,Science
Electrical Engineering,MATH,100,10,Science
Art,MATH,59,17,Science
Art,PHYS,58,12,Engineering
Physics,PHYS,43,10,Engineering
Physics,ENG,30,13,Arts
Computer Science,ENG,89,11,Science
Computer Science,CS,60,13,Arts
Electrical Engineering,ART,94,12,Engineering
Computer Science,MATH,20,6,Science
Mathematics,CS,80,7,Science
Electrical Engineering,PHYS,92,5,Engineering
Computer Science,EENG,86,8,Engineering
Physics,MATH,86,18,Science
English,ART,27,18,Engineering
Mathematics,CS,22,9,Engineering
Electrical Engineering,ENG,69,16,Science
Mathematics,ART,24,13,Arts
Mathematics,PHYS,59,15,Science
Art,EENG,96,20,Arts
Art,ENG,42,13,Engineering
Computer Science,CS,50,9,Engineering
Physics,MATH,58,7,Engineering
English,CS,50,16,Engineering
Electrical Engineering,CS,82,12,Science
Physics,EENG,44,9,Engineering
Art,ART,61,19,Science
Mathematics,CS,76,12,Science
Mathematics,MATH,81,17,Arts
Computer Science,CS,86,18,Arts
Electrical Engineering,EENG,76,12,Science
English,ART,53,14,Science
Mathematics,ART,86,11,Arts
Computer Science,EENG,62,18,Arts
Art,ENG,67,12,Arts
English,MATH,21,14,Science
Electrical Engineering,EENG,21,19,Engineering
Computer Science,MATH,90,19,Engineering
Computer Science,ART,37,17,Arts
Computer Science,PHYS,82,13,Engineering
Art,EENG,43,14,Arts
Computer Science,MATH,22,13,Arts
English,MATH,72,13,Science
Art,ART,96,14,Science
English,ART,96,14,Arts
Art,ART,51,16,Engineering
Mathematics,CS,53,7,Science
Mathematics,PHYS,72,6,Science
English,MATH,62,12,Engineering
Electrical Engineering,CS,86,14,Science
Computer Science,PHYS,93,14,Science
Physics,ENG,96,18,Arts
Mathematics,MATH,68,20,Engineering
Electrical Engineering,EENG,28,14,Engineering
English,ART,77,10,Engineering
Physics,PHYS,70,6,Engineering
Art,ART,39,14,Engineering
English,ART,61,15,Arts
Electrical Engineering,ART,27,9,Engineering
Physics,ENG,68,18,Engineering
Physics,MATH,26,14,Engineering
Mathematics,PHYS,36,17,Science
English,CS,92,17,Arts
Art,MATH,60,15,Arts
English,MATH,81,6,Arts
Mathematics,ART,40,17,Science
Electrical Engineering,PHYS,94,8,Arts
Mathematics,EENG,55,10,Science
Computer Science,EENG,96,9,Arts
Physics,PHYS,91,13,Science
Computer Science,ENG,59,12,Engineering
Physics,PHYS,26,7,Science
English,EENG,86,5,Engineering
English,MATH,32,5,Engineering
Mathematics,MATH,69,7,Arts
Art,CS,73,14,Engineering
Mathematics,EENG,67,20,Arts
Electrical Engineering,EENG,100,14,Arts
Art,CS,41,5,Science
Art,CS,91,9,Arts
Computer Science,MATH,82,8,Engineering
Electrical Engineering,PHYS,32,18,Engineering
Art,ENG,28,19,Science
Physics,MATH,58,15,Arts
Mathematics,ENG,78,17,Arts
English,MATH,65,5,Arts
Computer Science,PHYS,59,13,Engineering
English,ENG,51,10,Arts
English,ENG,75,20,Engineering
English,ART,99,9,Engineering
Electrical Engineering,ENG,85,16,Arts
Mathematics,MATH,93,9,Science
Physics,ART,96,7,Science
Electrical Engineering,EENG,95,16,Arts
Art,EENG,53,17,Engineering
Mathematics,EENG,67,13,Engineering
Mathematics,MATH,36,16,Engineering
Mathematics,ENG,95,9,Science
Computer Science,PHYS,20,10,Arts
Computer Science,ART,29,7,Science
Art,ENG,69,20,Engineering
Electrical Engineering,CS,80,7,Science
Mathematics,EENG,21,8,Engineering
Computer Science,ENG,75,6,Science
English,EENG,94,12,Arts
English,EENG,37,13,Science
Physics,CS,32,5,Science
Mathematics,CS,52,10,Arts
Electrical Engineering,ART,93,10,Engineering
Art,ENG,29,13,Engineering
Art,CS,55,11,Arts
Computer Science,EENG,21,9,Engineering
Art,MATH,46,9,Engineering
Electrical Engineering,EENG,49,15,Arts
Physics,ART,73,15,Science
Computer Science,PHYS,46,5,Arts
Electrical Engineering,EENG,48,20,Arts
Computer Science,EENG,25,13,Science
Physics,ART,45,12,Engineering
Computer Science,MATH,59,15,Arts
Physics,CS,89,18,Engineering
English,MATH,64,7,Science
Art,PHYS,22,20,Engineering
Art,EENG,71,5,Science
Art,CS,80,10,Arts
Mathematics,ART,50,16,Arts
Electrical Engineering,ENG,25,8,Science
Electrical Engineering,PHYS,20,10,Science
Computer Science,CS,71,16,Science
Computer Science,ENG,74,20,Arts
English,PHYS,69,6,Science
Physics,CS,29,13,Science
English,EENG,95,10,Arts
Art,EENG,94,15,Science
English,MATH,41,7,Arts
Electrical Engineering,PHYS,23,16,Arts
Mathematics,PHYS,44,19,Engineering
Electrical Engineering,CS,44,13,Science
Art,ART,83,20,Arts
English,ART,31,8,Arts
Electrical Engineering,ART,58,12,Science
Physics,ENG,38,12,Engineering
Computer Science,ART,59,10,Arts
Electrical Engineering,ART,62,13,Engineering
English,ART,55,14,Science
Physics,ART,26,6,Science
Mathematics,ART,43,17,Arts
Mathematics,EENG,58,16,Arts
Art,MATH,57,7,Science
Physics,ART,20,16,Arts
Electrical Engineering,MATH,69,20,Engineering
Computer Science,PHYS,30,11,Science
Mathematics,CS,25,19,Arts
Mathematics,EENG,51,11,Arts
Physics,ENG,72,14,Arts
English,ART,97,11,Science
Computer Science,ART,72,17,Science
Art,PHYS,42,9,Engineering
Mathematics,PHYS,27,9,Science
Mathematics,ENG,76,9,Science
Art,EENG,71,16,Engineering
Electrical Engineering,PHYS,48,10,Science
English,EENG,47,15,Science
Art,CS,24,15,Arts
Physics,ENG,27,5,Engineering
Physics,EENG,61,8,Arts
Art,EENG,24,18,Arts
English,ART,100,13,Science
Mathematics,ART,76,16,Arts
Physics,ENG,66,14,Engineering
Electrical Engineering,PHYS,100,6,Engineering
Mathematics,ENG,65,6,Engineering
English,ENG,96,16,Science
English,EENG,67,15,Science
English,PHYS,40,6,Engineering
Electrical Engineering,PHYS,81,9,Arts
Art,MATH,53,12,Science
English,ART,35,10,Science
English,MATH,61,13,Arts
Physics,CS,80,13,Arts
Mathematics,MATH,63,15,Arts
Art,PHYS,68,9,Engineering
Mathematics,CS,56,11,Science
English,CS,69,6,Science
Physics,CS,99,19,Engineering
English,EENG,31,15,Engineering
Physics,ENG,98,14,Science
Mathematics,CS,34,14,Science
Computer Science,MATH,21,13,Arts
Computer Science,CS,95,15,Engineering
Electrical Engineering,EENG,91,11,Science
Electrical Engineering,CS,93,19,Science
Electrical Engineering,PHYS,21,6,Science
Mathematics,ART,77,12,Arts
English,PHYS,24,5,Engineering
Computer Science,EENG,32,17,Science
Electrical Engineering,ART,84,9,Engineering
Mathematics,EENG,43,6,Science
Electrical Engineering,ART,84,20,Engineering
Art,ENG,23,17,Science
Computer Science,ENG,86,14,Arts
English,PHYS,80,18,Science
Physics,ENG,29,12,Engineering
Mathematics,MATH,66,7,Engineering
Mathematics,PHYS,74,18,Arts
Physics,EENG,29,8,Engineering
Mathematics,MATH,74,5,Science
English,CS,92,19,Engineering
Electrical Engineering,ART,41,16,Arts
Computer Science,PHYS,66,14,Science
English,CS,24,15,Science
Electrical Engineering,MATH,84,15,Engineering
Art,MATH,88,6,Science
Art,CS,36,8,Science
Mathematics,ART,27,6,Arts
Electrical Engineering,MATH,74,7,Science
Electrical Engineering,PHYS,52,17,Science
Computer Science,ENG,39,20,Arts
Computer Science,MATH,23,19,Engineering
Computer Science,MATH,31,7,Engineering
Physics,ART,52,13,Arts
Computer Science,ART,83,5,Arts
Mathematics,EENG,48,14,Engineering
Mathematics,MATH,82,19,Science
Art,CS,65,14,Arts
Art,EENG,76,11,Arts
Physics,CS,61,12,Science
Mathematics,ENG,74,14,Science
Mathematics,ENG,65,5,Science
English,ENG,31,18,Arts
Electrical Engineering,CS,73,11,Arts
Electrical Engineering,ENG,48,6,Arts
English,MATH,70,10,Science
Physics,EENG,87,11,Arts
Art,CS,99,13,Arts
Mathematics,MATH,26,8,Engineering
Electrical Engineering,MATH,55,5,Engineering
English,ENG,27,18,Arts
Mathematics,ENG,78,8,Science
English,MATH,65,12,Engineering
Art,ENG,63,14,Engineering
English,CS,77,11,Arts
Physics,CS,86,20,Science
Mathematics,CS,83,15,Science
English,CS,75,8,Arts
Electrical Engineering,ART,81,8,Engineering
Art,ART,91,14,Engineering
Physics,ENG,38,8,Engineering
Art,ART,71,19,Science
Computer Science,CS,76,6,Science
Physics,PHYS,83,7,Science
Electrical Engineering,EENG,80,15,Engineering
Computer Science,ART,30,16,Engineering
Art,ENG,88,19,Arts
Art,ART,62,15,Engineering
Art,ART,41,11,Engineering
Computer Science,ART,67,16,Science
Computer Science,EENG,49,18,Engineering
Electrical Engineering,ENG,30,17,Engineering
Computer Science,EENG,43,13,Science
Electrical Engineering,ART,64,9,Arts
Computer Science,PHYS,88,18,Arts
Electrical Engineering,PHYS,51,11,Arts
Mathematics,EENG,38,19,Engineering
Electrical Engineering,MATH,34,11,Arts
Mathematics,ART,70,20,Engineering
Mathematics,ENG,40,10,Arts
Computer Science,MATH,39,6,Engineering
Computer Science,EENG,24,13,Engineering
Mathematics,ART,84,20,Arts
Mathematics,PHYS,93,6,Arts
Physics,PHYS,78,18,Arts
Mathematics,EENG,71,17,Science
Electrical Engineering,ENG,91,18,Engineering
Mathematics,CS,78,7,Science
Mathematics,ENG,100,8,Science
Mathematics,ENG,76,16,Arts
English,ENG,93,5,Arts
Electrical Engineering,ENG,27,19,Arts
Art,ENG,86,15,Arts
Art,ENG,31,10,Arts
Physics,ENG,96,19,Science
Mathematics,MATH,48,20,Arts
Art,PHYS,73,10,Engineering
Computer Science,EENG,75,5,Engineering
Computer Science,EENG,91,15,Science
Mathematics,CS,54,6,Engineering
Physics,ENG,78,16,Engineering
Mathematics,PHYS,22,6,Science
Electrical Engineering,CS,75,20,Engineering
English,EENG,52,6,Engineering
Art,ART,87,18,Engineering
Art,ENG,28,16,Science
Physics,ENG,100,17,Science
Art,MATH,27,17,Engineering
Electrical Engineering,ENG,31,11,Arts
English,PHYS,33,8,Engineering
Electrical Engineering,PHYS,42,13,Engineering
Mathematics,CS,99,9,Arts
Mathematics,EENG,27,11,Science
Computer Science,PHYS,87,16,Engineering
English,CS,85,18,Engineering
Art,ART,79,20,Science
Computer Science,PHYS,50,18,Engineering
Art,ENG,76,9,Science
Art,ART,76,9,Science
English,MATH,48,20,Engineering
Art,ART,55,17,Arts
Art,ART,77,17,Arts
Electrical Engineering,ENG,81,20,Arts
Physics,EENG,63,9,Arts
Computer Science,PHYS,64,6,Science
English,PHYS,24,5,Engineering
Electrical Engineering,ENG,39,13,Engineering
Art,EENG,89,11,Arts
Electrical Engineering,CS,90,15,Engineering
Computer Science,ART,75,5,Arts
Art,ENG,52,18,Arts
Physics,PHYS,30,8,Engineering
Physics,ENG,86,18,Science
Electrical Engineering,CS,54,14,Engineering
Physics,EENG,48,15,Science
Computer Science,MATH,58,17,Science
Computer Science,EENG,89,17,Science
